Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-December-2024,425.50,433.50,419.50,431.80,426.679699535450278849,418685,6413,178644390.00,188933,45.13,14.00,6.30
4-December-2024,427.30,432.00,424.40,425.50,427.151728930119273612,697975,15039,298141228.00,385100,55.17,7.60,-1.80
3-December-2024,419.00,430.20,417.50,428.80,425.556360533678384535,1100513,12534,468330307.00,825260,74.99,12.70,9.80
2-December-2024,413.85,418.85,412.05,416.15,416.009061040562124607,658644,10940,274001872.00,456642,69.33,6.80,2.30
29-November-2024,414.50,417.25,410.55,414.05,413.431356080971771403,290521,4881,120110491.00,92760,31.93,6.70,-0.45
28-November-2024,418.85,420.90,412.00,414.30,416.092934817918981255,985056,20639,409874842.00,538117,54.63,8.90,-4.55
27-November-2024,411.95,418.60,409.20,417.80,414.485122973361044725,616353,7423,255469149.00,315915,51.26,9.40,5.85
26-November-2024,413.25,414.20,408.00,410.05,410.675119292304627726,552215,13037,226780961.00,192602,34.88,6.20,-3.20
25-November-2024,420.35,423.90,410.50,412.50,418.079710820308072093,396985,6653,165971374.00,130435,32.86,13.40,-7.85
22-November-2024,414.05,416.70,409.30,413.55,412.732693489198478986,903345,14876,372840015.00,294915,32.65,7.40,-0.50
21-November-2024,412.00,413.20,397.50,408.45,406.523373506495582684,1000834,20634,406862414.00,300493,30.02,15.70,-3.55
19-November-2024,405.55,417.80,405.55,408.10,412.596569295641871663,784970,16853,323875929.00,371632,47.34,12.25,2.55
18-November-2024,407.05,410.85,397.50,404.75,404.088601528404611287,805415,19601,325459021.00,276073,34.28,13.35,-2.30
14-November-2024,400.25,411.75,400.25,404.65,405.618368578282047886,611577,9429,248066865.00,135050,22.08,11.50,4.40
13-November-2024,413.45,416.20,397.00,399.05,405.430044916624825903,1621226,46681,657293730.00,643003,39.66,19.20,-14.40
12-November-2024,431.55,436.25,412.70,414.25,420.601241137536019095,1018904,30721,428552287.00,417625,40.99,23.55,-17.30
11-November-2024,432.40,437.65,428.00,431.50,433.269036702010182103,529753,8593,229525572.00,214102,40.42,9.65,-0.90
8-November-2024,448.00,448.00,430.00,432.60,437.860213860067163321,504442,8138,220875082.00,131458,26.06,18.00,-15.40
7-November-2024,451.90,454.80,442.85,444.80,447.717683260562713733,972004,16612,435183379.00,419912,43.20,11.95,-7.10
6-November-2024,437.55,451.95,436.65,449.30,442.987751074668420811,653690,10172,289576663.00,234493,35.87,15.30,11.75
5-November-2024,429.00,434.95,426.00,433.95,431.044566270534204058,365366,6424,157489029.00,75574,20.68,8.95,4.95
4-November-2024,446.70,446.70,426.20,429.00,431.026793433572960153,756454,13356,326051942.00,212071,28.03,20.50,-17.70
1-November-2024,446.35,448.50,442.00,445.20,445.887905737502866929,466527,18877,208018747.00,236231,50.64,6.50,-1.15
31-October-2024,430.05,444.60,421.00,440.05,436.464663745939076664,2029403,32192,885762698.00,428638,21.12,23.60,10.00
30-October-2024,427.70,433.45,421.60,427.15,428.086984215728362768,500815,8150,214392383.00,123164,24.59,11.85,-0.55
29-October-2024,428.40,428.40,415.25,425.35,421.233828741743193169,893808,20579,376502166.00,240216,26.88,13.15,-3.05
